Code,Name,Industry
002201.SZ,九鼎新材,化工
002202.SZ,金风科技,电气设备
002203.SZ,海亮股份,有色金属
002204.SZ,大连重工,机械设备
002205.SZ,国统股份,建筑材料
002206.SZ,海利得,化工
002207.SZ,*ST准油,采掘
002208.SZ,合肥城建,房地产
002209.SZ,达意隆,机械设备
002210.SZ,飞马国际,交通运输
002211.SZ,宏达新材,化工
002212.SZ,南洋股份,电气设备
002213.SZ,特尔佳,汽车
002214.SZ,大立科技,电子
002215.SZ,诺普信,化工
002216.SZ,三全食品,食品饮料
002217.SZ,合力泰,电子
002218.SZ,拓日新能,电气设备
002219.SZ,恒康医疗,医药生物
002220.SZ,天宝食品,农林牧渔
002221.SZ,东华能源,化工
002222.SZ,福晶科技,电子
002223.SZ,鱼跃医疗,医药生物
002224.SZ,三力士,化工
002225.SZ,濮耐股份,建筑材料
002226.SZ,江南化工,化工
002227.SZ,奥特迅,电气设备
002228.SZ,合兴包装,轻工制造
002229.SZ,鸿博股份,轻工制造
002230.SZ,科大讯飞,计算机
002231.SZ,奥维通信,通信
002232.SZ,启明信息,计算机
002233.SZ,塔牌集团,建筑材料
002234.SZ,民和股份,农林牧渔
002235.SZ,安妮股份,轻工制造
002236.SZ,大华股份,电子
002237.SZ,恒邦股份,有色金属
002238.SZ,天威视讯,传媒
002239.SZ,奥特佳,汽车
002240.SZ,威华股份,轻工制造
002241.SZ,歌尔股份,电子
002242.SZ,九阳股份,家用电器
002243.SZ,通产丽星,轻工制造
002244.SZ,滨江集团,房地产
002245.SZ,澳洋顺昌,交通运输
002246.SZ,北化股份,化工
002247.SZ,帝龙文化,传媒
002248.SZ,华东数控,机械设备
002249.SZ,大洋电机,电气设备
002250.SZ,联化科技,化工
002251.SZ,步步高,商业贸易
002252.SZ,上海莱士,医药生物
002253.SZ,川大智胜,计算机
002254.SZ,泰和新材,化工
002255.SZ,海陆重工,电气设备
002256.SZ,兆新股份,化工
002258.SZ,利尔化学,化工
002259.SZ,升达林业,公用事业
002260.SZ,*ST德奥,家用电器
002261.SZ,拓维信息,传媒
002262.SZ,恩华药业,医药生物
002263.SZ,*ST东南,化工
002264.SZ,新华都,商业贸易
002265.SZ,西仪股份,汽车
002266.SZ,浙富控股,电气设备
002267.SZ,陕天然气,公用事业
002268.SZ,卫士通,计算机
002269.SZ,美邦服饰,纺织服装
002270.SZ,华明装备,电气设备
002271.SZ,东方雨虹,建筑材料
002272.SZ,川润股份,机械设备
002273.SZ,水晶光电,电子
002274.SZ,华昌化工,化工
002275.SZ,桂林三金,医药生物
002276.SZ,万马股份,电气设备
002277.SZ,友阿股份,商业贸易
002278.SZ,神开股份,机械设备
002279.SZ,久其软件,计算机
002280.SZ,联络互动,计算机
002281.SZ,光迅科技,通信
002282.SZ,博深工具,机械设备
002283.SZ,天润曲轴,汽车
002284.SZ,亚太股份,汽车
002285.SZ,世联行,房地产
002286.SZ,保龄宝,农林牧渔
002287.SZ,奇正藏药,医药生物
002288.SZ,超华科技,电子
002289.SZ,宇顺电子,电子
002290.SZ,中科新材,家用电器
002291.SZ,星期六,纺织服装
002292.SZ,奥飞娱乐,传媒
002293.SZ,罗莱生活,纺织服装
002294.SZ,信立泰,医药生物
002295.SZ,精艺股份,有色金属
002296.SZ,辉煌科技,计算机
002297.SZ,博云新材,国防军工
002298.SZ,中电兴发,电气设备
002299.SZ,圣农发展,农林牧渔
002300.SZ,太阳电缆,电气设备
002301.SZ,齐心集团,轻工制造
002302.SZ,西部建设,建筑材料
002303.SZ,美盈森,轻工制造
002304.SZ,洋河股份,食品饮料
002305.SZ,南国置业,房地产
002306.SZ,*ST云网,休闲服务
002307.SZ,北新路桥,建筑装饰
002308.SZ,威创股份,计算机
002309.SZ,中利集团,电气设备
002310.SZ,东方园林,建筑装饰
002311.SZ,海大集团,农林牧渔
002312.SZ,三泰控股,计算机
002313.SZ,日海智能,通信
002314.SZ,南山控股,房地产
002315.SZ,焦点科技,传媒
002316.SZ,亚联发展,通信
002317.SZ,众生药业,医药生物
002318.SZ,久立特材,钢铁
002319.SZ,乐通股份,化工
002320.SZ,海峡股份,交通运输
002321.SZ,华英农业,农林牧渔
002322.SZ,理工环科,电气设备
002323.SZ,*ST百特,建筑材料
002324.SZ,普利特,化工
002325.SZ,洪涛股份,建筑装饰
002326.SZ,永太科技,化工
002327.SZ,富安娜,纺织服装
002328.SZ,新朋股份,汽车
